dataset,phase,strategy,seed,model,init_size,batch,budget,init_size_pct,budget_pct,batch_pct_of_budget,epc,final_labeled_target,step_type,step,labeled_count,split,train_loss,acc,f1_macro,auc,ap,val_mean,select_metric,is_best,tp,fp,tn,fn
bloodmnist,active,least_confident,246,bloodmnist-screening_official-least_confident-init1p-batch3pb-epc1-budget10p-246.pth,120,36,1196,1.0,10.0,3.0,1,1316,cycle,20,840,val,0.1855,0.9048,0.8717,0.9627,0.8958,0.9088,mean,0,-1,-1,-1,-1
bloodmnist,active,least_confident,246,bloodmnist-screening_official-least_confident-init1p-batch3pb-epc1-budget10p-246.pth,120,36,1196,1.0,10.0,3.0,1,1316,cycle,21,876,val,0.1288,0.9007,0.8644,0.9497,0.8855,0.9001,mean,0,-1,-1,-1,-1
bloodmnist,active,least_confident,246,bloodmnist-screening_official-least_confident-init1p-batch3pb-epc1-budget10p-246.pth,120,36,1196,1.0,10.0,3.0,1,1316,cycle,22,912,val,0.1262,0.9071,0.8809,0.9614,0.9098,0.9148,mean,1,-1,-1,-1,-1
bloodmnist,active,least_confident,246,bloodmnist-screening_official-least_confident-init1p-batch3pb-epc1-budget10p-246.pth,120,36,1196,1.0,10.0,3.0,1,1316,cycle,23,948,val,0.1128,0.8715,0.8122,0.9319,0.8472,0.8657,mean,0,-1,-1,-1,-1
bloodmnist,active,least_confident,246,bloodmnist-screening_official-least_confident-init1p-batch3pb-epc1-budget10p-246.pth,120,36,1196,1.0,10.0,3.0,1,1316,cycle,24,984,val,0.1606,0.8972,0.857,0.9562,0.8897,0.9,mean,0,-1,-1,-1,-1
bloodmnist,active,least_confident,246,bloodmnist-screening_official-least_confident-init1p-batch3pb-epc1-budget10p-246.pth,120,36,1196,1.0,10.0,3.0,1,1316,cycle,25,1020,val,0.1918,0.8797,0.8585,0.9611,0.9078,0.9018,mean,0,-1,-1,-1,-1
bloodmnist,active,least_confident,246,bloodmnist-screening_official-least_confident-init1p-batch3pb-epc1-budget10p-246.pth,120,36,1196,1.0,10.0,3.0,1,1316,cycle,26,1056,val,0.115,0.9054,0.8746,0.9506,0.8633,0.8985,mean,0,-1,-1,-1,-1
bloodmnist,active,least_confident,246,bloodmnist-screening_official-least_confident-init1p-batch3pb-epc1-budget10p-246.pth,120,36,1196,1.0,10.0,3.0,1,1316,cycle,27,1092,val,0.0996,0.906,0.8717,0.9571,0.8998,0.9086,mean,0,-1,-1,-1,-1
bloodmnist,active,least_confident,246,bloodmnist-screening_official-least_confident-init1p-batch3pb-epc1-budget10p-246.pth,120,36,1196,1.0,10.0,3.0,1,1316,cycle,28,1128,val,0.1027,0.906,0.8853,0.9643,0.9059,0.9154,mean,1,-1,-1,-1,-1
bloodmnist,active,least_confident,246,bloodmnist-screening_official-least_confident-init1p-batch3pb-epc1-budget10p-246.pth,120,36,1196,1.0,10.0,3.0,1,1316,cycle,29,1164,val,0.158,0.9001,0.8635,0.9573,0.892,0.9032,mean,0,-1,-1,-1,-1
bloodmnist,active,least_confident,246,bloodmnist-screening_official-least_confident-init1p-batch3pb-epc1-budget10p-246.pth,120,36,1196,1.0,10.0,3.0,1,1316,cycle,30,1200,val,0.0931,0.9077,0.8788,0.9458,0.8972,0.9074,mean,0,-1,-1,-1,-1
